funding_time,funding_rate,mark_price
2021-12-16 08:00:00.000,0.0001,
2021-12-16 16:00:00.000,0.00019644,
2021-12-17 00:00:00.000,0.0001,
2021-12-17 08:00:00.000,0.0001,
2021-12-17 16:00:00.000,0.0001,
2021-12-18 00:00:00.000,0.0001,
2021-12-18 08:00:00.000,0.0001,
2021-12-18 16:00:00.000,0.0001,
2021-12-19 00:00:00.000,0.0001,
2021-12-19 08:00:00.000,0.0001,
2021-12-19 16:00:00.000,0.0001,
2021-12-20 00:00:00.000,0.0001,
2021-12-20 08:00:00.000,0.0001,
2021-12-20 16:00:00.000,0.0001,
2021-12-21 00:00:00.000,0.0001,
2021-12-21 08:00:00.000,0.0001,
2021-12-21 16:00:00.000,0.0001,
2021-12-22 00:00:00.000,0.0001,
2021-12-22 08:00:00.000,0.0001,
2021-12-22 16:00:00.000,0.0001,
2021-12-23 00:00:00.000,0.0001,
2021-12-23 08:00:00.000,0.0001,
2021-12-23 16:00:00.000,0.0001,
2021-12-24 00:00:00.000,0.0001,
2021-12-24 08:00:00.000,0.0001,
2021-12-24 16:00:00.000,0.0001,
2021-12-25 00:00:00.000,0.0001,
2021-12-25 08:00:00.000,0.0001,
2021-12-25 16:00:00.000,0.0001,
2021-12-26 00:00:00.000,0.0001,
2021-12-26 08:00:00.000,0.0001,
2021-12-26 16:00:00.000,0.0001,
2021-12-27 00:00:00.000,0.0001,
2021-12-27 08:00:00.000,0.0001,
2021-12-27 16:00:00.000,0.00040873,
2021-12-28 00:00:00.000,0.0001,
2021-12-28 08:00:00.000,0.0001,
2021-12-28 16:00:00.000,0.0001,
2021-12-29 00:00:00.000,0.0001,
2021-12-29 08:00:00.000,0.0001,
2021-12-29 16:00:00.000,0.0001,
2021-12-30 00:00:00.000,0.0001,
2021-12-30 08:00:00.000,0.0001,
2021-12-30 16:00:00.000,0.0001,
2021-12-31 00:00:00.000,0.0001,
2021-12-31 08:00:00.000,0.0001,
2021-12-31 16:00:00.000,0.0001,
2022-01-01 00:00:00.000,0.0001,
2022-01-01 08:00:00.000,0.0001,
2022-01-01 16:00:00.000,0.0001,
2022-01-02 00:00:00.000,0.0001,
2022-01-02 08:00:00.000,0.0001,
2022-01-02 16:00:00.000,0.0001,
2022-01-03 00:00:00.000,0.0001,
2022-01-03 08:00:00.000,0.0001,
2022-01-03 16:00:00.000,0.0001,
2022-01-04 00:00:00.000,0.00018309,
2022-01-04 08:00:00.000,0.0001,
2022-01-04 16:00:00.000,0.0001,
2022-01-05 00:00:00.000,0.0001,
2022-01-05 08:00:00.000,0.0001,
2022-01-05 16:00:00.000,0.0001,
2022-01-06 00:00:00.000,0.0001,
2022-01-06 08:00:00.000,0.0001,
2022-01-06 16:00:00.000,-0.00019076,
2022-01-07 00:00:00.000,9.139e-05,
2022-01-07 08:00:00.000,0.0001,
2022-01-07 16:00:00.000,0.0001,
2022-01-08 00:00:00.000,0.0001,
2022-01-08 08:00:00.000,0.0001,
2022-01-08 16:00:00.000,0.0001,
2022-01-09 00:00:00.000,0.0001,
2022-01-09 08:00:00.000,0.0001,
2022-01-09 16:00:00.000,0.0001,
2022-01-10 00:00:00.000,0.0001,
2022-01-10 08:00:00.000,0.0001,
2022-01-10 16:00:00.000,0.0001,
2022-01-11 00:00:00.000,-1.621e-05,
2022-01-11 08:00:00.000,-0.00012567,
2022-01-11 16:00:00.000,8.727e-05,
2022-01-12 00:00:00.000,-1.484e-05,
2022-01-12 08:00:00.000,0.0001,
2022-01-12 16:00:00.000,0.0001,
2022-01-13 00:00:00.000,0.0001,
2022-01-13 08:00:00.000,0.0001,
2022-01-13 16:00:00.000,0.0001,
2022-01-14 00:00:00.000,0.0001,
2022-01-14 08:00:00.000,0.0001,
2022-01-14 16:00:00.000,0.0001,
2022-01-15 00:00:00.000,0.0001,
2022-01-15 08:00:00.000,0.0001,
2022-01-15 16:00:00.000,0.0001,
2022-01-16 00:00:00.000,0.0001,
2022-01-16 08:00:00.000,0.0001,
2022-01-16 16:00:00.000,0.0001,
2022-01-17 00:00:00.000,0.0001,
2022-01-17 08:00:00.000,0.0001,
2022-01-17 16:00:00.000,0.0001,
2022-01-18 00:00:00.000,0.0001,
2022-01-18 08:00:00.000,0.0001,
2022-01-18 16:00:00.000,0.0001,
2022-01-19 00:00:00.000,0.0001,
2022-01-19 08:00:00.000,0.0001,
2022-01-19 16:00:00.000,0.0001,
2022-01-20 00:00:00.000,0.0001,
2022-01-20 08:00:00.000,0.0001,
2022-01-20 16:00:00.000,0.0001,
2022-01-21 00:00:00.000,0.0001,
2022-01-21 08:00:00.000,0.0001,
2022-01-21 16:00:00.000,0.0001,
2022-01-22 00:00:00.000,0.0001,
2022-01-22 08:00:00.000,0.0001,
2022-01-22 16:00:00.000,0.0001,
2022-01-23 00:00:00.000,-0.00027036,
2022-01-23 08:00:00.000,0.0001,
2022-01-23 16:00:00.000,0.0001,
2022-01-24 00:00:00.000,0.0001,
2022-01-24 08:00:00.000,0.0001,
2022-01-24 16:00:00.000,0.0001,
2022-01-25 00:00:00.000,0.0001,
2022-01-25 08:00:00.000,0.0001,
2022-01-25 16:00:00.000,0.0001,
